Class,Total Points,Strength,Dexterity,Intelligence,Vigor,Constitution,Height,Value
warrior,157,77,75,5,0,0,1.920000,43.992113
archer,157,77,75,5,0,0,1.920000,65.988169
guardian,157,0,0,5,75,77,1.300000,62.120290
mage,157,77,75,5,0,0,1.920000,58.656151
warrior,158,77,75,6,0,0,1.920000,44.387759
archer,158,77,75,6,0,0,1.920000,66.581638
guardian,158,0,0,6,75,77,1.300000,62.678973
mage,158,77,75,6,0,0,1.920000,59.183679
warrior,159,78,75,6,0,0,1.920000,44.784154
archer,159,78,75,6,0,0,1.920000,67.176230
guardian,159,0,0,6,75,78,1.300000,63.238713
mage,159,78,75,6,0,0,1.920000,59.712205
warrior,160,78,75,7,0,0,1.920000,45.182855
archer,160,78,75,7,0,0,1.920000,67.774282
guardian,160,0,0,7,75,78,1.300000,63.801710
mage,160,78,75,7,0,0,1.920000,60.243806
warrior,161,78,75,8,0,0,1.920000,45.580999
archer,161,78,75,8,0,0,1.920000,68.371499
guardian,161,0,0,8,75,78,1.300000,64.363921
mage,161,78,75,8,0,0,1.920000,60.774665
warrior,162,79,75,8,0,0,1.920000,45.979214
archer,162,79,75,8,0,0,1.920000,68.968822
guardian,162,0,0,8,75,79,1.300000,64.926232
mage,162,79,75,8,0,0,1.920000,61.305619
warrior,163,79,75,9,0,0,1.920000,46.380196
archer,163,79,75,9,0,0,1.920000,69.570295
guardian,163,0,0,9,75,79,1.300000,65.492450
mage,163,79,75,9,0,0,1.920000,61.840262
warrior,164,79,75,10,0,0,1.920000,46.780459
archer,164,79,75,10,0,0,1.920000,70.170689
guardian,164,0,0,10,75,79,1.300000,66.057652
mage,164,79,75,10,0,0,1.920000,62.373945
warrior,165,80,75,10,0,0,1.920000,47.180314
archer,165,80,75,10,0,0,1.920000,70.770471
guardian,165,0,0,10,75,80,1.300000,66.622278
mage,165,80,75,10,0,0,1.920000,62.907085
warrior,166,80,75,11,0,0,1.920000,47.583194
archer,166,80,75,11,0,0,1.920000,71.374791
guardian,166,0,0,11,75,80,1.300000,67.191176
mage,166,80,75,11,0,0,1.920000,63.444259
warrior,167,80,76,11,0,0,1.920000,47.985648
archer,167,80,76,11,0,0,1.920000,71.978472
guardian,167,0,0,11,76,80,1.300000,67.759473
mage,167,80,76,11,0,0,1.920000,63.980864
warrior,168,80,76,12,0,0,1.920000,48.387646
archer,168,80,76,12,0,0,1.920000,72.581470
guardian,168,0,0,12,76,80,1.300000,68.327126
mage,168,80,76,12,0,0,1.920000,64.516862
warrior,169,81,76,12,0,0,1.920000,48.792323
archer,169,81,76,12,0,0,1.920000,73.188485
guardian,169,0,0,12,76,81,1.300000,68.898561
mage,169,81,76,12,0,0,1.920000,65.056431
warrior,170,81,76,13,0,0,1.920000,49.196717
archer,170,81,76,13,0,0,1.920000,73.795075
guardian,170,0,0,13,76,81,1.300000,69.469596
mage,170,81,76,13,0,0,1.920000,65.595622
warrior,171,81,76,14,0,0,1.920000,49.600066
