strength,dexterity,intelligence,vigor,constitution,height,character,fitness,age,generation
32,2,70,50,13,1.77,warrior,18.114192389544343,1,9
23,5,13,53,73,1.39,warrior,15.20265331196585,1,9
72,24,59,0,12,1.42,warrior,18.918491269671286,1,9
61,15,17,40,34,1.73,warrior,19.941023336048026,1,9
15,49,7,24,72,1.41,warrior,12.28600735477362,1,9
88,32,30,1,16,1.53,warrior,14.277351394894415,1,9
22,62,6,73,4,1.33,warrior,14.121958012701166,1,9
102,3,28,5,29,1.62,warrior,8.881098234254228,1,9
55,8,20,74,10,1.91,warrior,22.93638946759367,1,9
14,39,80,14,20,1.95,warrior,11.927016759486012,1,9
8,73,34,46,6,1.92,warrior,8.702696248011293,1,9
10,60,30,27,40,1.84,warrior,9.91439113524114,1,9
4,94,30,11,28,1.49,warrior,7.248951806611725,1,9
6,84,46,28,3,1.91,warrior,7.5570785352508025,1,9
2,94,14,1,56,1.41,warrior,6.245714558234769,1,9
53,27,17,37,33,1.73,warrior,20.26405010174114,1,10
35,72,11,43,6,1.91,warrior,20.24316478586844,1,10
71,2,78,1,15,1.42,warrior,19.110122147009108,1,10
56,19,45,24,23,1.62,warrior,19.597007229473093,1,10
31,2,71,50,13,1.66,warrior,17.116675711060225,1,10
31,34,15,62,25,1.86,warrior,18.802115186330674,1,10
16,87,45,3,16,1.81,warrior,12.798649908195863,1,10
34,16,4,36,77,1.46,warrior,18.567852486848842,1,10
44,19,9,58,37,1.39,warrior,19.85124817819454,1,10
53,12,30,32,40,1.91,warrior,22.909458429810122,1,10
92,27,31,1,16,1.33,warrior,11.224372732378571,1,10
11,32,82,39,3,1.53,warrior,10.593090892758237,1,10
60,34,4,18,51,1.95,warrior,22.51543750414421,1,10
10,24,50,8,75,1.41,warrior,10.109389279194092,1,10
6,41,20,81,19,1.62,warrior,8.537932027213841,1,10
86,2,23,22,34,1.99,warrior,15.998489211530902,1,10
7,62,71,24,3,1.91,warrior,8.133946679839502,1,10
6,96,26,35,4,1.92,warrior,7.556919772276551,1,10
4,78,10,0,75,1.41,warrior,7.251066918717803,1,10
2,101,31,12,21,1.49,warrior,6.243112549253956,1,10
42,9,23,26,67,1.95,warrior,21.587569539020063,1,11
33,42,5,22,65,1.91,warrior,19.68058488053864,1,11
34,48,6,27,52,1.91,warrior,19.968337852967956,1,11
29,21,61,29,27,1.73,warrior,16.963363285378733,1,11
95,14,29,15,14,1.62,warrior,11.423938011710915,1,11
30,10,6,33,88,1.39,warrior,17.273783501807777,1,11
49,1,56,43,18,1.63,warrior,19.5534521826806,1,11
89,42,19,0,17,1.42,warrior,14.327793812810135,1,11
34,16,4,36,77,1.43,warrior,18.558093454239568,1,11
29,1,67,48,22,1.46,warrior,17.279648861045267,1,11
53,1,78,13,22,1.81,warrior,21.620285415315685,1,11
9,54,94,1,9,1.99,warrior,9.493932919132659,1,11
58,16,67,24,2,1.53,warrior,20.189068344272673,1,11
20,59,56,3,29,1.33,warrior,13.582947523531283,1,11
7,19,15,61,65,1.62,warrior,8.974054823843971,1,11
5,38,48,7,69,1.6,warrior,8.068039117567652,1,11
5,40,46,22,54,1.92,warrior,6.972269678127247,1,11
21,94,26,23,3,1.91,warrior,15.263552841364223,1,11
4,78,10,0,75,1.94,warrior,6.426427950700516,1,11
32,82,25,9,19,1.41,warrior,17.97511966150195,1,11
32,1,81,15,38,1.95,warrior,19.224959709496137,1,12
42,10,80,13,22,1.56,warrior,19.33952918805406,1,12
44,13,52,18,40,1.39,warrior,19.85124817819454,1,12
45,76,8,35,3,1.53,warrior,19.916525983503117,1,12
37,1,62,48,19,2.0,warrior,19.424092829778488,1,12
41,36,18,18,54,1.91,warrior,21.615923414242115,1,12
71,58,19,7,12,1.41,warrior,19.00884268725706,1,12
29,15,3,34,86,1.43,warrior,17.27182475035253,1,12
17,0,43,52,55,1.39,warrior,13.051733356874642,1,12
27,9,83,29,19,1.46,warrior,16.688365345834008,1,12
22,15,90,21,19,1.91,warrior,15.696446459457688,1,12
8,102,28,25,4,1.73,warrior,9.271710871809862,1,12
73,35,16,30,13,1.33,warrior,15.960871954511402,1,12
14,91,39,2,21,1.42,warrior,11.869915749676835,1,12
100,12,29,17,9,1.99,warrior,10.77916626254321,1,12
10,53,90,1,13,1.62,warrior,10.243051415658007,1,12
12,29,24,96,6,1.6,warrior,11.050414981846613,1,12
5,38,48,7,69,1.38,warrior,7.9355802826418085,1,12
3,24,93,13,34,1.94,warrior,5.832314555784391,1,12
4,71,10,0,82,1.92,warrior,6.380109159375007,1,12
33,52,27,50,5,1.53,warrior,17.981227083078416,1,13
35,56,7,29,40,1.91,warrior,20.24316478586844,1,13
77,0,44,33,13,2.0,warrior,18.178590612706834,1,13
29,11,81,14,32,1.39,warrior,17.008411840699328,1,13
20,5,39,83,20,1.95,warrior,14.756764663444924,1,13
37,1,89,16,24,1.84,warrior,20.18880350139727,1,13
7,54,19,7,80,1.43,warrior,8.669654707151416,1,13
41,19,4,87,16,1.41,warrior,19.75055165235748,1,13
29,10,85,29,14,1.33,warrior,15.755282170652617,1,13
50,24,58,21,14,1.46,warrior,20.766984535266147,1,13
14,7,105,11,30,1.39,warrior,11.857219701236126,1,13
17,1,42,52,55,1.91,warrior,13.423270913847215,1,13
11,22,18,69,47,1.6,warrior,10.645107758406628,1,13
12,92,40,2,21,1.43,warrior,10.996034674348072,1,13
77,9,70,1,10,1.43,warrior,17.880901602299765,1,13
9,47,27,77,7,1.99,warrior,9.493932919132659,1,13
8,102,28,25,4,1.82,warrior,8.94055362773295,1,13
2,20,26,80,39,1.73,warrior,6.439421150084929,1,13
1,87,52,8,19,1.94,warrior,4.623470605411413,1,13
2,43,71,1,50,1.92,warrior,5.1742631182822585,1,13
33,16,5,19,94,1.91,warrior,19.68058488053864,1,14
45,3,73,27,19,1.46,warrior,20.40145532883775,1,14
27,1,66,64,9,1.41,warrior,16.602911455312906,1,14
30,40,9,36,52,1.84,warrior,18.30940988304754,1,14
44,72,25,18,8,1.53,warrior,19.816761877415882,1,14
36,57,13,55,6,2.0,warrior,19.21593791316942,1,14
49,39,50,9,20,1.39,warrior,20.23976927514051,1,14
53,18,75,1,20,1.43,warrior,20.831076906342588,1,14
15,77,20,45,10,1.95,warrior,12.423595944031574,1,14
84,2,52,20,9,1.33,warrior,13.485681935067857,1,14
80,0,28,36,23,1.39,warrior,16.655046314426713,1,14
10,6,71,44,36,1.91,warrior,9.815549637509479,1,14
5,83,20,36,23,1.6,warrior,8.068039117567652,1,14
15,30,92,2,28,1.43,warrior,12.297184783487431,1,14
9,47,27,77,7,1.55,warrior,9.746698673900557,1,14
40,82,22,20,3,1.99,warrior,20.335984391333167,1,14
3,37,47,54,26,1.73,warrior,6.926926915054523,1,14
2,17,71,7,70,1.43,warrior,6.168296472612644,1,14
2,21,97,14,33,1.94,warrior,5.231244453060222,1,14
0,55,44,1,67,1.92,warrior,3.941413543456543,1,14
25,85,35,12,10,1.46,warrior,16.05505161314035,1,15
51,3,85,0,28,1.43,warrior,20.790728721150277,1,15
23,46,86,11,1,1.39,warrior,15.20265331196585,1,15
49,39,50,9,20,1.69,warrior,19.74446024113636,1,15
44,72,25,18,8,1.54,warrior,19.729715645648728,1,15
24,11,3,15,114,1.53,warrior,15.513222895273238,1,15
25,51,13,33,45,1.84,warrior,16.60862334309953,1,15
41,45,9,62,10,2.0,warrior,20.13898663299136,1,15
41,0,35,86,5,1.41,warrior,19.75055165235748,1,15
42,3,45,40,37,1.39,warrior,19.616499269562595,1,15
118,2,7,28,12,1.95,warrior,3.0165755809232384,1,15
2,84,21,50,10,1.33,warrior,7.501273730660261,1,15
9,76,38,24,20,1.91,warrior,9.2634241687926,1,15
12,8,112,2,33,1.34,warrior,11.106421317512662,1,15
11,63,25,38,30,1.6,warrior,10.645107758406628,1,15
4,70,23,64,6,1.63,warrior,7.654804494259926,1,15
4,45,24,9,85,1.43,warrior,7.1881355716946995,1,15
1,14,58,73,21,1.73,warrior,5.946219660516672,1,15
2,60,34,0,71,1.92,warrior,5.1742631182822585,1,15
0,21,98,14,34,1.91,warrior,3.941713845211373,1,15
54,49,8,47,9,2.0,warrior,21.140955112061267,1,16
26,75,50,0,16,1.43,warrior,16.370368988614523,1,16
44,0,92,10,21,1.69,warrior,19.3931100351309,1,16
31,28,51,55,2,1.41,warrior,17.722123922987684,1,16
40,3,42,49,33,1.39,warrior,19.336618555990704,1,16
40,68,23,27,9,1.54,warrior,19.225088328908356,1,16
35,74,19,17,22,1.46,warrior,18.792110060867977,1,16
12,97,17,17,24,1.84,warrior,10.93060611168325,1,16
14,95,50,6,2,1.39,warrior,11.857219701236126,1,16
73,7,1,9,77,1.53,warrior,18.251817857179404,1,16
8,45,20,26,68,1.6,warrior,9.386562291461814,1,16
13,9,100,4,41,1.34,warrior,11.458897600905917,1,16
9,76,46,30,6,1.63,warrior,9.830205682396311,1,16
4,64,22,59,18,2.0,warrior,7.069746059630829,1,16
10,79,19,49,10,1.43,warrior,10.088152796851148,1,16
2,26,82,6,51,1.33,warrior,7.501273730660261,1,16
1,60,34,0,72,1.37,warrior,6.17444464508154,1,16
1,9,42,99,16,1.73,warrior,5.946219660516672,1,16
0,18,78,10,61,1.95,warrior,4.082451339539469,1,16
109,1,6,22,29,1.91,warrior,7.43518230521812,1,16
50,47,6,43,21,1.69,warrior,19.782056714190116,1,17
37,2,113,8,7,2.0,warrior,19.424092829778488,1,17
78,2,36,43,8,1.54,warrior,17.032439985645013,1,17
26,47,16,55,23,1.39,warrior,16.150557009569688,1,17
23,83,0,8,53,1.53,warrior,15.18874954517334,1,17
64,5,60,17,21,1.46,warrior,20.25125529531584,1,17
17,15,92,34,9,1.43,warrior,13.121937369428096,1,17
40,48,75,2,2,1.41,warrior,19.598697950088088,1,17
7,7,60,68,25,1.34,warrior,9.24575802598551,1,17
64,63,34,4,2,1.39,warrior,19.729736096328455,1,17
14,53,25,64,11,1.43,warrior,11.871816573044121,1,17
29,86,14,17,21,1.84,warrior,17.9925100714542,1,17
36,45,26,17,43,1.6,warrior,18.194408642787426,1,17
10,66,28,53,10,1.63,warrior,10.24563244416299,1,17
1,88,46,4,28,1.91,warrior,4.5613618637869475,1,17
60,0,80,12,15,1.33,warrior,17.70780274385028,1,17
3,31,17,77,39,1.37,warrior,7.11578956276139,1,17
70,38,13,35,11,2.0,warrior,19.67061792023289,1,17
26,6,30,65,40,1.95,warrior,17.201619847363006,1,17
0,13,58,8,88,1.73,warrior,5.447534289073158,1,17
86,7,7,57,10,1.69,warrior,14.49303300600279,1,18
29,27,32,9,70,1.46,warrior,17.279648861045267,1,18
54,34,11,59,9,2.0,warrior,21.140955112061267,1,18
43,38,83,2,1,1.39,warrior,19.739528746863346,1,18
28,32,52,53,2,2.0,warrior,17.138708385777647,1,18
22,2,65,74,4,1.41,warrior,14.971579292217005,1,18
27,34,63,12,31,1.84,warrior,17.323553463301074,1,18
16,48,7,9,87,1.6,warrior,12.595785338117508,1,18
47,0,61,27,32,1.95,warrior,22.275784351353302,1,18
46,10,54,32,25,1.33,warrior,17.92740964349086,1,18
99,4,20,14,30,1.39,warrior,10.427171910109296,1,18
79,32,24,28,4,1.54,warrior,16.78300972601776,1,18
25,93,0,39,10,1.44,warrior,16.062215658968807,1,18
75,7,52,4,29,1.53,warrior,17.828356037635725,1,18
19,52,25,62,9,1.63,warrior,13.648610636292307,1,18
8,56,25,69,9,1.43,warrior,9.14977044818185,1,18
4,17,10,46,90,1.37,warrior,7.577976157465697,1,18
60,5,40,45,17,1.34,warrior,18.28305406126605,1,18
0,14,65,5,83,1.91,warrior,3.941713845211373,1,18
0,63,35,5,64,1.32,warrior,7.071864005252492,1,18
45,2,57,55,8,1.68,warrior,19.420212294135233,1,19
58,36,11,29,33,1.35,warrior,18.91400134600358,1,19
