strength,dexterity,intelligence,vigor,constitution,height,character,fitness,age
51,41,38,31,37,1.35,warrior,30.658654866083523,5
51,40,39,31,37,1.35,warrior,30.630927543929612,7
51,41,34,34,38,1.4,warrior,31.723819202913923,1
53,42,34,31,38,1.4,warrior,32.431469569768,1
53,38,39,30,38,1.4,warrior,32.36964895139026,1
53,38,39,30,38,1.4,warrior,32.36964895139026,1
53,42,34,31,38,1.4,warrior,32.431469569768,5
53,42,34,31,38,1.4,warrior,32.431469569768,3
53,42,34,31,38,1.4,warrior,32.431469569768,2
53,38,39,30,38,1.4,warrior,32.36964895139026,4
53,38,39,30,38,1.4,warrior,32.36964895139026,3
53,38,39,30,38,1.4,warrior,32.36964895139026,2
53,38,39,30,38,1.4,warrior,32.36964895139026,2
52,42,34,31,39,1.4,warrior,32.224237723300604,4
50,41,39,31,37,1.4,warrior,32.168933768322766,3
51,39,39,31,38,1.4,warrior,32.08454743401664,6
52,39,36,32,39,1.4,warrior,31.925395299648226,3
51,41,34,34,38,1.4,warrior,31.723819202913923,2
53,42,34,31,38,1.35,warrior,30.745272702069165,7
53,42,34,31,38,1.35,warrior,30.745272702069165,6
53,42,34,31,38,1.35,warrior,30.745272702069165,4
53,42,34,31,38,1.35,warrior,30.745272702069165,4
53,42,34,31,38,1.4,warrior,32.431469569768,1
53,42,34,31,38,1.4,warrior,32.431469569768,1
53,42,34,31,38,1.4,warrior,32.431469569768,1
53,38,39,30,38,1.4,warrior,32.36964895139026,1
53,42,34,31,38,1.4,warrior,32.431469569768,6
53,42,34,31,38,1.4,warrior,32.431469569768,4
53,42,34,31,38,1.4,warrior,32.431469569768,3
53,42,34,31,38,1.4,warrior,32.431469569768,2
53,42,34,31,38,1.4,warrior,32.431469569768,2
53,42,34,31,38,1.4,warrior,32.431469569768,2
53,38,39,30,38,1.4,warrior,32.36964895139026,5
53,38,39,30,38,1.4,warrior,32.36964895139026,4
53,38,39,30,38,1.4,warrior,32.36964895139026,3
53,38,39,30,38,1.4,warrior,32.36964895139026,3
53,38,39,30,38,1.4,warrior,32.36964895139026,2
52,42,34,31,39,1.4,warrior,32.224237723300604,5
50,41,39,31,37,1.4,warrior,32.168933768322766,4
51,39,39,31,38,1.4,warrior,32.08454743401664,7
52,39,36,32,39,1.4,warrior,31.925395299648226,4
51,41,34,34,38,1.4,warrior,31.723819202913923,3
53,42,34,31,38,1.4,warrior,32.431469569768,1
53,42,34,31,38,1.4,warrior,32.431469569768,1
53,42,34,31,38,1.4,warrior,32.431469569768,1
53,42,34,31,38,1.4,warrior,32.431469569768,1
53,42,34,31,38,1.4,warrior,32.431469569768,7
53,42,34,31,38,1.4,warrior,32.431469569768,5
53,42,34,31,38,1.4,warrior,32.431469569768,4
53,42,34,31,38,1.4,warrior,32.431469569768,3
53,42,34,31,38,1.4,warrior,32.431469569768,3
53,42,34,31,38,1.4,warrior,32.431469569768,3
53,42,34,31,38,1.4,warrior,32.431469569768,2
53,42,34,31,38,1.4,warrior,32.431469569768,2
53,42,34,31,38,1.4,warrior,32.431469569768,2
53,42,34,31,38,1.4,warrior,32.431469569768,2
53,38,39,30,38,1.4,warrior,32.36964895139026,6
53,38,39,30,38,1.4,warrior,32.36964895139026,5
53,38,39,30,38,1.4,warrior,32.36964895139026,4
53,38,39,30,38,1.4,warrior,32.36964895139026,4
53,38,39,30,38,1.4,warrior,32.36964895139026,3
52,42,34,31,39,1.4,warrior,32.224237723300604,6
53,42,34,31,38,1.4,warrior,32.431469569768,1
53,42,34,31,38,1.4,warrior,32.431469569768,1
53,42,34,31,38,1.4,warrior,32.431469569768,1
53,42,34,31,38,1.4,warrior,32.431469569768,1
53,42,34,31,38,1.4,warrior,32.431469569768,8
53,42,34,31,38,1.4,warrior,32.431469569768,6
53,42,34,31,38,1.4,warrior,32.431469569768,5
53,42,34,31,38,1.4,warrior,32.431469569768,4
53,42,34,31,38,1.4,warrior,32.431469569768,4
53,42,34,31,38,1.4,warrior,32.431469569768,4
53,42,34,31,38,1.4,warrior,32.431469569768,3
53,42,34,31,38,1.4,warrior,32.431469569768,3
53,42,34,31,38,1.4,warrior,32.431469569768,3
53,42,34,31,38,1.4,warrior,32.431469569768,3
53,42,34,31,38,1.4,warrior,32.431469569768,2
53,42,34,31,38,1.4,warrior,32.431469569768,2
53,42,34,31,38,1.4,warrior,32.431469569768,2
53,42,34,31,38,1.4,warrior,32.431469569768,2
53,38,39,30,38,1.4,warrior,32.36964895139026,7
53,38,39,30,38,1.4,warrior,32.36964895139026,6
53,42,34,31,38,1.41,warrior,32.592323018408266,1
53,42,34,31,38,1.4,warrior,32.431469569768,1
53,42,34,31,38,1.4,warrior,32.431469569768,1
41,46,37,33,41,1.4,warrior,30.2444783522283,1
53,42,34,31,38,1.41,warrior,32.592323018408266,2
53,42,34,31,38,1.4,warrior,32.431469569768,9
53,42,34,31,38,1.4,warrior,32.431469569768,7
53,42,34,31,38,1.4,warrior,32.431469569768,6
53,42,34,31,38,1.4,warrior,32.431469569768,5
53,42,34,31,38,1.4,warrior,32.431469569768,5
53,42,34,31,38,1.4,warrior,32.431469569768,5
53,42,34,31,38,1.4,warrior,32.431469569768,4
53,42,34,31,38,1.4,warrior,32.431469569768,4
53,42,34,31,38,1.4,warrior,32.431469569768,4
53,42,34,31,38,1.4,warrior,32.431469569768,4
53,42,34,31,38,1.4,warrior,32.431469569768,3
53,42,34,31,38,1.4,warrior,32.431469569768,3
53,42,34,31,38,1.4,warrior,32.431469569768,3
53,42,34,31,38,1.4,warrior,32.431469569768,3
53,42,34,31,38,1.4,warrior,32.431469569768,2
56,44,36,34,28,1.4,warrior,33.30566242992775,1
53,42,34,31,38,1.41,warrior,32.592323018408266,1
53,42,34,31,38,1.4,warrior,32.431469569768,1
53,42,34,31,38,1.4,warrior,32.431469569768,1
56,44,36,34,28,1.4,warrior,33.30566242992775,2
53,42,34,31,38,1.41,warrior,32.592323018408266,3
53,42,34,31,38,1.41,warrior,32.592323018408266,2
53,42,34,31,38,1.4,warrior,32.431469569768,10
53,42,34,31,38,1.4,warrior,32.431469569768,8
53,42,34,31,38,1.4,warrior,32.431469569768,7
53,42,34,31,38,1.4,warrior,32.431469569768,6
53,42,34,31,38,1.4,warrior,32.431469569768,6
53,42,34,31,38,1.4,warrior,32.431469569768,6
53,42,34,31,38,1.4,warrior,32.431469569768,5
53,42,34,31,38,1.4,warrior,32.431469569768,5
53,42,34,31,38,1.4,warrior,32.431469569768,5
53,42,34,31,38,1.4,warrior,32.431469569768,5
53,42,34,31,38,1.4,warrior,32.431469569768,4
53,42,34,31,38,1.4,warrior,32.431469569768,4
53,42,34,31,38,1.4,warrior,32.431469569768,4
54,43,34,30,37,1.41,warrior,33.02438289548924,1
55,43,36,34,30,1.4,warrior,32.97185621483981,1
53,42,34,31,38,1.4,warrior,32.431469569768,1
53,42,34,31,38,1.41,warrior,32.592323018408266,1
56,44,36,34,28,1.4,warrior,33.30566242992775,3
54,43,34,30,37,1.41,warrior,33.02438289548924,2
55,43,36,34,30,1.4,warrior,32.97185621483981,2
53,42,34,31,38,1.41,warrior,32.592323018408266,4
53,42,34,31,38,1.41,warrior,32.592323018408266,3
53,42,34,31,38,1.41,warrior,32.592323018408266,2
53,42,34,31,38,1.4,warrior,32.431469569768,11
53,42,34,31,38,1.4,warrior,32.431469569768,9
53,42,34,31,38,1.4,warrior,32.431469569768,8
53,42,34,31,38,1.4,warrior,32.431469569768,7
53,42,34,31,38,1.4,warrior,32.431469569768,7
53,42,34,31,38,1.4,warrior,32.431469569768,7
53,42,34,31,38,1.4,warrior,32.431469569768,6
53,42,34,31,38,1.4,warrior,32.431469569768,6
53,42,34,31,38,1.4,warrior,32.431469569768,6
53,42,34,31,38,1.4,warrior,32.431469569768,6
54,43,35,30,36,1.41,warrior,33.15001546530412,1
55,45,34,34,30,1.4,warrior,33.094197976266194,1
55,41,34,30,38,1.41,warrior,32.86510429457722,1
52,46,35,34,31,1.4,warrior,32.71071141664256,1
56,44,36,34,28,1.4,warrior,33.30566242992775,4
54,43,35,30,36,1.41,warrior,33.15001546530412,2
55,45,34,34,30,1.4,warrior,33.094197976266194,2
54,43,34,30,37,1.41,warrior,33.02438289548924,3
55,43,36,34,30,1.4,warrior,32.97185621483981,3
55,41,34,30,38,1.41,warrior,32.86510429457722,2
52,46,35,34,31,1.4,warrior,32.71071141664256,2
53,42,34,31,38,1.41,warrior,32.592323018408266,5
53,42,34,31,38,1.41,warrior,32.592323018408266,4
53,42,34,31,38,1.41,warrior,32.592323018408266,3
53,42,34,31,38,1.4,warrior,32.431469569768,12
53,42,34,31,38,1.4,warrior,32.431469569768,10
53,42,34,31,38,1.4,warrior,32.431469569768,9
53,42,34,31,38,1.4,warrior,32.431469569768,8
53,42,34,31,38,1.4,warrior,32.431469569768,8
53,42,34,31,38,1.4,warrior,32.431469569768,8
56,44,34,29,35,1.41,warrior,33.68186709857993,1
54,45,36,34,29,1.4,warrior,33.06742543733908,1
53,43,34,32,36,1.41,warrior,32.711360969037,1
55,45,35,31,32,1.4,warrior,33.44403664985717,1
56,44,34,29,35,1.41,warrior,33.68186709857993,2
55,45,35,31,32,1.4,warrior,33.44403664985717,2
56,44,36,34,28,1.4,warrior,33.30566242992775,5
54,43,35,30,36,1.41,warrior,33.15001546530412,3
55,45,34,34,30,1.4,warrior,33.094197976266194,3
54,45,36,34,29,1.4,warrior,33.06742543733908,2
54,43,34,30,37,1.41,warrior,33.02438289548924,4
55,43,36,34,30,1.4,warrior,32.97185621483981,4
55,41,34,30,38,1.41,warrior,32.86510429457722,3
53,43,34,32,36,1.41,warrior,32.711360969037,2
52,46,35,34,31,1.4,warrior,32.71071141664256,3
53,42,34,31,38,1.41,warrior,32.592323018408266,6
53,42,34,31,38,1.41,warrior,32.592323018408266,5
53,42,34,31,38,1.41,warrior,32.592323018408266,4
53,42,34,31,38,1.4,warrior,32.431469569768,13
53,42,34,31,38,1.4,warrior,32.431469569768,11
