strength,dexterity,intelligence,vigor,constitution,height,fitness,generation,selection_rate
90,80,28,0,0,1.87,59.36395240373773,10000,15
90,80,28,0,0,1.3,31.872731254714015,10000,15
90,80,28,0,0,1.87,59.36395240373773,10000,15
89,81,27,1,0,1.87,58.95647271280417,10000,15
90,80,28,0,0,1.87,59.36395240373773,10000,15
90,80,28,0,0,1.77,52.36337860804334,10000,16
90,80,28,0,0,1.77,52.36337860804334,10000,16
90,80,28,0,0,1.77,52.36337860804334,10000,16
90,80,28,0,0,1.77,52.36337860804334,10000,16
90,80,28,0,0,1.77,52.36337860804334,10000,16
90,80,28,0,0,1.77,52.36337860804334,10000,16
90,80,28,0,0,1.77,52.36337860804334,10000,16
90,80,28,0,0,1.77,52.36337860804334,10000,16
90,80,28,0,0,1.77,52.36337860804334,10000,16
90,80,28,0,0,1.77,52.36337860804334,10000,16
90,80,28,0,0,1.77,52.36337860804334,10000,16
90,80,28,0,0,1.77,52.36337860804334,10000,16
90,80,28,0,0,1.77,52.36337860804334,10000,16
90,80,28,0,0,1.77,52.36337860804334,10000,16
90,80,28,0,0,1.77,52.36337860804334,10000,16
90,80,28,0,0,1.77,52.36337860804334,10000,16
90,80,28,0,0,1.77,52.36337860804334,10000,16
151,0,47,0,0,1.77,21.058149922104285,10000,16
89,79,28,2,0,1.77,51.65131264547503,10000,16
90,80,28,0,0,1.77,52.36337860804334,10000,16
90,80,28,0,0,1.78,53.08813192896234,10000,17
90,80,28,0,0,1.78,53.08813192896234,10000,17
90,80,28,0,0,1.78,53.08813192896234,10000,17
90,80,28,0,0,1.78,53.08813192896234,10000,17
90,80,28,0,0,1.78,53.08813192896234,10000,17
90,80,28,0,0,1.78,53.08813192896234,10000,17
90,80,28,0,0,1.78,53.08813192896234,10000,17
90,80,28,0,0,1.78,53.08813192896234,10000,17
90,80,28,0,0,1.78,53.08813192896234,10000,17
90,80,28,0,0,1.78,53.08813192896234,10000,17
90,80,28,0,0,1.78,53.08813192896234,10000,17
90,80,28,0,0,1.78,53.08813192896234,10000,17
90,80,28,0,0,1.78,53.08813192896234,10000,17
90,80,28,0,0,1.78,53.08813192896234,10000,17
90,80,28,0,0,1.78,53.08813192896234,10000,17
90,80,28,0,0,1.78,53.08813192896234,10000,17
90,80,28,0,0,1.78,53.08813192896234,10000,17
90,80,28,0,0,1.78,53.08813192896234,10000,17
104,93,0,1,0,1.78,50.884100103235376,10000,17
90,80,28,0,0,1.78,53.08813192896234,10000,17
90,80,28,0,0,1.74,50.37796431114886,10000,18
90,80,28,0,0,1.74,50.37796431114886,10000,18
90,80,28,0,0,1.74,50.37796431114886,10000,18
90,80,28,0,0,1.74,50.37796431114886,10000,18
90,80,28,0,0,1.74,50.37796431114886,10000,18
