strength,dexterity,intelligence,vigor,constitution,height,character,fitness,age
54,43,50,14,37,1.52,warrior,34.982329560080615,4
54,43,50,14,37,1.52,warrior,34.982329560080615,4
54,43,50,14,37,1.52,warrior,34.982329560080615,3
54,43,50,14,37,1.52,warrior,34.982329560080615,3
54,43,50,14,37,1.52,warrior,34.982329560080615,3
54,43,50,14,37,1.52,warrior,34.982329560080615,2
54,43,50,14,37,1.52,warrior,34.982329560080615,2
54,43,50,14,37,1.52,warrior,34.982329560080615,2
54,43,50,14,37,1.52,warrior,34.982329560080615,2
54,42,49,15,38,1.52,warrior,34.6690670291113,4
54,43,50,14,37,1.56,warrior,34.3504215735607,3
56,35,54,15,38,1.52,warrior,34.27794226291153,5
55,35,54,17,37,1.52,warrior,34.0085694943907,4
54,43,50,14,37,1.52,warrior,34.982329560080615,1
54,43,50,14,37,1.52,warrior,34.982329560080615,1
54,43,50,14,37,1.52,warrior,34.982329560080615,1
54,43,50,14,37,1.52,warrior,34.982329560080615,1
54,43,50,14,37,1.52,warrior,34.982329560080615,8
54,43,50,14,37,1.52,warrior,34.982329560080615,7
54,43,50,14,37,1.52,warrior,34.982329560080615,6
54,43,50,14,37,1.52,warrior,34.982329560080615,5
54,43,50,14,37,1.52,warrior,34.982329560080615,5
54,43,50,14,37,1.52,warrior,34.982329560080615,4
54,43,50,14,37,1.52,warrior,34.982329560080615,4
54,43,50,14,37,1.52,warrior,34.982329560080615,4
54,43,50,14,37,1.52,warrior,34.982329560080615,3
54,43,50,14,37,1.52,warrior,34.982329560080615,3
54,43,50,14,37,1.52,warrior,34.982329560080615,3
54,43,50,14,37,1.52,warrior,34.982329560080615,3
54,43,50,14,37,1.52,warrior,34.982329560080615,2
54,43,50,14,37,1.52,warrior,34.982329560080615,2
54,43,50,14,37,1.52,warrior,34.982329560080615,2
54,43,50,14,37,1.52,warrior,34.982329560080615,2
54,43,50,14,37,1.52,warrior,34.982329560080615,1
54,43,50,14,37,1.52,warrior,34.982329560080615,1
54,43,50,14,37,1.52,warrior,34.982329560080615,1
54,43,50,14,37,1.52,warrior,34.982329560080615,1
54,43,50,14,37,1.52,warrior,34.982329560080615,9
54,43,50,14,37,1.52,warrior,34.982329560080615,8
54,43,50,14,37,1.52,warrior,34.982329560080615,7
54,43,50,14,37,1.52,warrior,34.982329560080615,6
54,43,50,14,37,1.52,warrior,34.982329560080615,6
54,43,50,14,37,1.52,warrior,34.982329560080615,5
54,43,50,14,37,1.52,warrior,34.982329560080615,5
54,43,50,14,37,1.52,warrior,34.982329560080615,5
54,43,50,14,37,1.52,warrior,34.982329560080615,4
54,43,50,14,37,1.52,warrior,34.982329560080615,4
54,43,50,14,37,1.52,warrior,34.982329560080615,4
54,43,50,14,37,1.52,warrior,34.982329560080615,4
54,43,50,14,37,1.52,warrior,34.982329560080615,3
54,43,50,14,37,1.52,warrior,34.982329560080615,3
54,43,50,14,37,1.52,warrior,34.982329560080615,3
54,43,50,14,37,1.52,warrior,34.982329560080615,3
54,43,50,14,37,1.52,warrior,34.982329560080615,1
54,43,50,14,37,1.52,warrior,34.982329560080615,1
54,43,50,14,37,1.52,warrior,34.982329560080615,1
54,43,50,14,37,1.52,warrior,34.982329560080615,1
54,43,50,14,37,1.52,warrior,34.982329560080615,10
54,43,50,14,37,1.52,warrior,34.982329560080615,9
54,43,50,14,37,1.52,warrior,34.982329560080615,8
54,43,50,14,37,1.52,warrior,34.982329560080615,7
54,43,50,14,37,1.52,warrior,34.982329560080615,7
54,43,50,14,37,1.52,warrior,34.982329560080615,6
54,43,50,14,37,1.52,warrior,34.982329560080615,6
54,43,50,14,37,1.52,warrior,34.982329560080615,6
54,43,50,14,37,1.52,warrior,34.982329560080615,5
54,43,50,14,37,1.52,warrior,34.982329560080615,5
54,43,50,14,37,1.52,warrior,34.982329560080615,5
54,43,50,14,37,1.52,warrior,34.982329560080615,5
54,43,50,14,37,1.52,warrior,34.982329560080615,4
54,43,50,14,37,1.52,warrior,34.982329560080615,4
54,43,50,14,37,1.52,warrior,34.982329560080615,4
54,43,50,14,37,1.52,warrior,34.982329560080615,4
54,43,50,14,37,1.52,warrior,34.982329560080615,1
54,43,50,14,37,1.52,warrior,34.982329560080615,1
54,43,50,14,37,1.52,warrior,34.982329560080615,1
54,43,50,14,37,1.52,warrior,34.982329560080615,1
54,43,50,14,37,1.52,warrior,34.982329560080615,11
54,43,50,14,37,1.52,warrior,34.982329560080615,10
54,43,50,14,37,1.52,warrior,34.982329560080615,9
54,43,50,14,37,1.52,warrior,34.982329560080615,8
54,43,50,14,37,1.52,warrior,34.982329560080615,8
54,43,50,14,37,1.52,warrior,34.982329560080615,7
54,43,50,14,37,1.52,warrior,34.982329560080615,7
54,43,50,14,37,1.52,warrior,34.982329560080615,7
54,43,50,14,37,1.52,warrior,34.982329560080615,6
54,43,50,14,37,1.52,warrior,34.982329560080615,6
54,43,50,14,37,1.52,warrior,34.982329560080615,6
54,43,50,14,37,1.52,warrior,34.982329560080615,6
54,43,50,14,37,1.52,warrior,34.982329560080615,5
54,43,50,14,37,1.52,warrior,34.982329560080615,5
54,43,50,14,37,1.52,warrior,34.982329560080615,5
54,43,50,14,37,1.52,warrior,34.982329560080615,5
54,43,50,14,37,1.52,warrior,34.982329560080615,1
54,43,50,14,37,1.52,warrior,34.982329560080615,1
54,43,50,14,37,1.52,warrior,34.982329560080615,1
52,42,50,13,41,1.52,warrior,34.21212933155311,1
54,43,50,14,37,1.52,warrior,34.982329560080615,12
54,43,50,14,37,1.52,warrior,34.982329560080615,11
54,43,50,14,37,1.52,warrior,34.982329560080615,10
54,43,50,14,37,1.52,warrior,34.982329560080615,9
54,43,50,14,37,1.52,warrior,34.982329560080615,9
54,43,50,14,37,1.52,warrior,34.982329560080615,8
54,43,50,14,37,1.52,warrior,34.982329560080615,8
54,43,50,14,37,1.52,warrior,34.982329560080615,8
54,43,50,14,37,1.52,warrior,34.982329560080615,7
54,43,50,14,37,1.52,warrior,34.982329560080615,7
54,43,50,14,37,1.52,warrior,34.982329560080615,7
54,43,50,14,37,1.52,warrior,34.982329560080615,7
54,43,50,14,37,1.52,warrior,34.982329560080615,6
54,43,50,14,37,1.52,warrior,34.982329560080615,6
54,43,50,14,37,1.52,warrior,34.982329560080615,6
54,43,50,14,37,1.52,warrior,34.982329560080615,6
54,43,50,14,37,1.52,warrior,34.982329560080615,1
54,45,50,13,36,1.52,warrior,35.37130982778315,1
50,52,47,13,36,1.52,warrior,34.9501377029506,1
54,44,50,14,36,1.52,warrior,35.17251682185769,1
54,45,50,13,36,1.52,warrior,35.37130982778315,2
54,44,50,14,36,1.52,warrior,35.17251682185769,2
54,43,50,14,37,1.52,warrior,34.982329560080615,13
54,43,50,14,37,1.52,warrior,34.982329560080615,12
54,43,50,14,37,1.52,warrior,34.982329560080615,11
54,43,50,14,37,1.52,warrior,34.982329560080615,10
54,43,50,14,37,1.52,warrior,34.982329560080615,10
54,43,50,14,37,1.52,warrior,34.982329560080615,9
54,43,50,14,37,1.52,warrior,34.982329560080615,9
54,43,50,14,37,1.52,warrior,34.982329560080615,9
54,43,50,14,37,1.52,warrior,34.982329560080615,8
54,43,50,14,37,1.52,warrior,34.982329560080615,8
54,43,50,14,37,1.52,warrior,34.982329560080615,8
54,43,50,14,37,1.52,warrior,34.982329560080615,8
54,43,50,14,37,1.52,warrior,34.982329560080615,7
54,43,50,14,37,1.52,warrior,34.982329560080615,7
55,45,50,13,35,1.52,warrior,35.66298835974652,1
54,46,49,13,36,1.52,warrior,35.444654337336374,1
54,43,50,14,37,1.52,warrior,34.982329560080615,1
54,43,50,14,37,1.52,warrior,34.982329560080615,1
55,45,50,13,35,1.52,warrior,35.66298835974652,2
54,46,49,13,36,1.52,warrior,35.444654337336374,2
54,45,50,13,36,1.52,warrior,35.37130982778315,3
54,44,50,14,36,1.52,warrior,35.17251682185769,3
54,43,50,14,37,1.52,warrior,34.982329560080615,14
54,43,50,14,37,1.52,warrior,34.982329560080615,13
54,43,50,14,37,1.52,warrior,34.982329560080615,12
54,43,50,14,37,1.52,warrior,34.982329560080615,11
54,43,50,14,37,1.52,warrior,34.982329560080615,11
54,43,50,14,37,1.52,warrior,34.982329560080615,10
54,43,50,14,37,1.52,warrior,34.982329560080615,10
54,43,50,14,37,1.52,warrior,34.982329560080615,10
54,43,50,14,37,1.52,warrior,34.982329560080615,9
54,43,50,14,37,1.52,warrior,34.982329560080615,9
54,43,50,14,37,1.52,warrior,34.982329560080615,9
54,43,50,14,37,1.52,warrior,34.982329560080615,9
55,45,49,13,36,1.52,warrior,35.54622404837117,1
54,46,50,13,35,1.52,warrior,35.558384802271334,1
54,45,50,13,36,1.52,warrior,35.37130982778315,1
54,44,50,14,36,1.52,warrior,35.17251682185769,1
55,45,50,13,35,1.52,warrior,35.66298835974652,3
54,46,50,13,35,1.52,warrior,35.558384802271334,2
55,45,49,13,36,1.52,warrior,35.54622404837117,2
54,46,49,13,36,1.52,warrior,35.444654337336374,3
54,45,50,13,36,1.52,warrior,35.37130982778315,4
54,45,50,13,36,1.52,warrior,35.37130982778315,2
54,44,50,14,36,1.52,warrior,35.17251682185769,4
54,44,50,14,36,1.52,warrior,35.17251682185769,2
54,43,50,14,37,1.52,warrior,34.982329560080615,15
54,43,50,14,37,1.52,warrior,34.982329560080615,14
54,43,50,14,37,1.52,warrior,34.982329560080615,13
54,43,50,14,37,1.52,warrior,34.982329560080615,12
54,43,50,14,37,1.52,warrior,34.982329560080615,12
54,43,50,14,37,1.52,warrior,34.982329560080615,11
54,43,50,14,37,1.52,warrior,34.982329560080615,11
