strength,dexterity,intelligence,vigor,constitution,height,character,fitness,age
84,62,51,1,0,1.88,warrior,57.65415512163853,5
83,61,52,2,0,1.8958856334780756,warrior,57.566216914964784,3
83,62,50,1,2,1.8958856334780756,warrior,57.58792920182237,1
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,1
84,62,51,1,0,1.8958856334780756,warrior,58.18135895200057,1
2,106,88,2,0,1.8958856334780756,warrior,2.4630291524225334,1
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,4
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,3
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,2
83,62,53,0,0,1.8958856334780756,warrior,58.370696892493875,5
83,63,51,1,0,1.8958856334780756,warrior,58.2087315002147,3
84,62,51,1,0,1.8958856334780756,warrior,58.18135895200057,8
84,62,51,1,0,1.8958856334780756,warrior,58.18135895200057,2
84,63,51,0,0,1.88,warrior,58.13334186715585,8
84,62,50,1,1,1.8958856334780756,warrior,57.94558826765597,7
84,63,50,0,1,1.88,warrior,57.89903809946351,4
83,62,51,1,1,1.8958856334780756,warrior,57.82267577096436,6
84,62,51,0,1,1.88,warrior,57.74643110463118,9
84,62,51,0,1,1.88,warrior,57.74643110463118,7
79,67,51,0,1,1.88,warrior,57.69209506574262,10
84,62,51,1,0,1.88,warrior,57.65415512163853,12
84,62,51,1,0,1.88,warrior,57.65415512163853,11
112,84,1,1,0,1.8958856334780756,warrior,56.892072130011975,1
0,109,88,0,1,1.8958856334780756,warrior,0.13610151863947398,1
84,63,51,0,0,1.871787685083257,warrior,57.76506102983756,1
82,63,52,1,0,1.8958856334780756,warrior,58.06614266778243,1
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,5
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,4
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,3
83,62,53,0,0,1.8958856334780756,warrior,58.370696892493875,6
83,63,51,1,0,1.8958856334780756,warrior,58.2087315002147,4
84,62,51,1,0,1.8958856334780756,warrior,58.18135895200057,9
84,62,51,1,0,1.8958856334780756,warrior,58.18135895200057,3
84,63,51,0,0,1.88,warrior,58.13334186715585,9
82,63,52,1,0,1.8958856334780756,warrior,58.06614266778243,2
84,62,50,1,1,1.8958856334780756,warrior,57.94558826765597,8
84,63,50,0,1,1.88,warrior,57.89903809946351,5
83,62,51,1,1,1.8958856334780756,warrior,57.82267577096436,7
84,63,51,0,0,1.871787685083257,warrior,57.76506102983756,2
84,62,51,0,1,1.88,warrior,57.74643110463118,10
84,62,51,0,1,1.88,warrior,57.74643110463118,8
79,67,51,0,1,1.88,warrior,57.69209506574262,11
2,108,88,0,0,1.8958856334780756,warrior,2.4783737360608233,1
84,63,51,0,0,1.9913422241895187,warrior,53.380108724716955,1
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,1
121,0,77,0,0,1.8958856334780756,warrior,33.071457206695854,1
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,6
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,5
84,63,51,0,0,1.8958856334780756,warrior,58.664927499439415,4
